"Sentence Nr";"Human translated sentence";"First machine translated sentence";"First machine translated sentence bleu score"
"27";"they had limited scope and interests .";"vesimit thegunjaish and ruchia";"7.545384"
"28";"they were waiting for a national level integration to happen at an appropriate time .";"the state was taking a step towards the end of the war .";"3.149696"
"29";"an opportunity came handy for organizing such an all indian organization . in the year 1885 , a retired english officer , a.o.hume established the indian national congress .";"aiyujan ' s head was like a real indian . in 1585 , a british english actor , a . o . hume , was arrested for the congress .";"5.004328"
"30";"it worked towards creating political awareness and nationalist attitude .";"to create a state of politics and politics .";"5.073552"
"31";"";"";"100.000000"
"32";"in spite of the diversity in india , the indian national congress struggled to kindle the patriotic feelings of indians .";"in india , the british congress has started to develop a solution to the problems of the british nation in india .";"14.962848"
"33";"as a result , the people became aware of the political situation and its problems .";"the parinamas were not given the right to give birth to the dalogs and the problems of this .";"3.168430"
"34";"the british realized the growing strength of the congress and started implementing its ‘ divide and rule ’ policy .";"english congress ' s increasing government was to start the trade and start the trade and start the trade and start the trade and start the trade and start the trade and start the trade and start the trade and start the trade and start the trade and start the trade and start the trade and start the trade and start the trade and start the trade and start the trade and start the trade and start the trade and start the trade and start the trade and start the trade and start the trade and start the trade and start the trade and start the trade and start the trade and start the trade and start the trade and start the trade and start the trade and start the trade and start the trade and start the trade and start the trade and start the trade and start the trade and start the trade and start the trade and start the trade and start the trade and start the trade and start the trade and start the trade and start the trade and start the trade and start the trade and start the trade and start the trade and start the trade and start the trade and start the trade and start the trade and start the trade and start the trade and start";"0.247583"
"35";"they separated hindus and muslims through their manipulative techniques .";"... and the hindus and muslims were separated from the religion .";"14.323145"
"36";"in spite of this , the indian national congress was able to formulate positive plans of action related to national issues .";"after this , the british and british british and british people were preparing to prepare for the attack of the british congress .";"7.575731"
"37";"";"";"100.000000"
"38";"by the end of the 19 th century , differences surfaced in the indian national congress . based on the plan of action , beliefs and type of struggle adopted by them , they were identified as moderates and extremists .";"in the last year , the national congress came to present the importance of the indian government . after the decision of the indian government to go to the court , the government and the government were made to recognize their own values and values .";"3.838238"
"39";"";"";"100.000000"
"40";"first phase : moderates ( 1885 - 1906 )";"the first charity was made in 1855.";"4.935158"
"41";"";"";"100.000000"
"42";"traditionally , the first 20 years of the beginning of congress are called the ‘ moderate age ’.";"but on the contrary , the beginning of the 20 th century of congress has been called .";"13.583192"
"43";"among the moderates , m.g.ranade , surendranath bannerjee , dadabhai naoroji and gopalakrishna gokhale were prominent .";"among the naram panthis , the emperor of the amzeerana , the emperor of the surahendranath banarji , dada bhai , nauruji and gopal krishna gokhale were the best .";"4.300663"
"44";"the moderates trusted the british administration and their impartiality .";"narampanthi british prasasan was the one who trusted him and his identity .";"4.619215"
"45";"they used to place their requests and appeals before the government within the constitutional framework .";"he was the one who was the leader of the government ' s society and the government ' s administration .";"4.567212"
"46";"the moderates taught people about political situations .";"the people of narampantion were taught by rajni .";"6.742556"
"47";"they conducted meetings , discussed problems and placed before the government various requests related to development of industries , reduction of military expenses , improvement in educational standards , forcing the british government to take up studies about poverty in the country etc .";"they have been asked to take care of the government ' s social issues and the government ' s social issues . they have been asked to take care of the government ' s social issues .";"3.131801"
"48";"";"";"100.000000"
"49";"gopalakrishna gokhale";"go palakrishna goklee";"22.590050"
"50";"dadabhai naoroji";"dada bhai narodhi .";"7.986789"
