"Sentence Nr";"Human translated sentence";"First machine translated sentence";"First machine translated sentence bleu score"
"15";"lord lytton brought in ‘ domestic papers control act ’ in 1878 to exercise control over the indian publications , and lord rippon brought in ‘ ilbert bill ’ to bring in uniformity in the judicial system .";"the latest laya gheralu ' s nagas neyantran adhaniam , a 1880 th birthday party and lord rupanpur neyantran was invited to participate in the new pranali event .";"3.173242"
"16";"certain organizations tried to protest against this in europe and were successful .";"in some ways , the europe is trying to make its way to the end of the world .";"2.862999"
"17";"";"";"100.000000"
"18";"the freedom struggle assumed a specific direction as a result of protests all over the country .";"the indian parinamaswar upswata nretasandraam was a part of the vishest dishagra .";"3.395777"
"19";"to avoid armed struggle , the british adopted certain strategies . consequently , the british government declared the supremacy of the queen in 1858 , and announced that indians were british citizens .";"for the sake of the country , the british did not have any rights to be a country . the british had a total of 800,000 people in the british and the british were born in the british .";"6.243703"
"20";"through this step , the british government declared provision of better amenities to indians . in the subsequent developments , the aristocratic new generation who learnt english , started fighting for their rights in a constitutional manner .";"the government ' s government has been given the best protection of the government . after the government ' s government ' s protection , the government has not been able to protect the government ' s safety and the safety of the government .";"2.368331"
"21";"this led to the establishment of indian national congress";"this is the history of india .";"6.495033"
"22";"";"";"100.000000"
"23";"indian national congress";"india ' s largest congress .";"8.116698"
"24";"";"";"100.000000"
"25";"right from the time of raja ram mohan roy , the minds of middle class people of india were getting prepared to face new challenges .";"the people of rajaram mohan raik ' s family were not able to understand the reason of the death of the lord .";"4.322455"
"26";"towards this end , many organizations were established throughout the country . among them , ‘ the hindu mela ’, ‘ the east india association ’, ‘ poona sarvajanik sabha ’ and ‘ the indian association ’ were prominent .";"for this , there was a few ingredients in the desh bharmaya . the hindu mela , the east india association , una sarvajanik sabha and the indian association .";"12.493980"
"27";"they had limited scope and interests .";"vesimit thegunjayish and ruchia .";"8.515289"
"28";"they were waiting for a national level integration to happen at an appropriate time .";"the first karan ' s practice was to understand the story of the veda shriya .";"2.908318"
"29";"an opportunity came handy for organizing such an all indian organization . in the year 1885 , a retired english officer , a.o.hume established the indian national congress .";"ayojana ' s voice is like this , this is the first time in india . ayojana ' s voice is like this , this is the first time in india .";"1.886782"
"30";"it worked towards creating political awareness and nationalist attitude .";"the work of the village is now ready to be completed and ready to be completed .";"2.719665"
"31";"";"";"100.000000"
"32";"in spite of the diversity in india , the indian national congress struggled to kindle the patriotic feelings of indians .";"in india , the state of india , the state of india , the state of india , the state of india , the state of india , the state of india , the state of india , the state of india , the state of india , the state of india , the state of india , the state of india , the state of india , the state of india , the state of india , the state of india , the state of india , the state of india , the state of india , the state of india , the state of india , the state of india , the state of india , the state of india , the state of india , the state of india , the state of india , the state of india , the state of india , the state of india , the state of india , the state of india , the state of india , the state of india , the state of india , the state of india , the state of india , the state of india , the state of india , the state of india , the state of india , the state of india , the state of india , the state of india , the";"1.183003"
"33";"as a result , the people became aware of the political situation and its problems .";"parinama swarup dalu rajini txthiti and his samasyaan savgathu .";"2.738597"
"34";"the british realized the growing strength of the congress and started implementing its ‘ divide and rule ’ policy .";"the british government has been accused of murdering and making the country ' s efforts to kill and kill the people .";"4.885327"
"35";"they separated hindus and muslims through their manipulative techniques .";"the mother of the hindu and muslim mother had to make a decision to their life .";"3.009804"
"36";"in spite of this , the indian national congress was able to formulate positive plans of action related to national issues .";"after this , the indian congress has been the most important reason to be the government of the country .";"12.897472"
"37";"";"";"100.000000"
"38";"by the end of the 19 th century , differences surfaced in the indian national congress . based on the plan of action , beliefs and type of struggle adopted by them , they were identified as moderates and extremists .";"the indian government has been engaged in the international congress in the united states . the indian government has been engaged in the international congress of the indian government .";"3.386540"
"39";"";"";"100.000000"
"40";"first phase : moderates ( 1885 - 1906 )";"the next challenge is to reach 85 % of the population .";"1.693249"
"41";"";"";"100.000000"
"42";"traditionally , the first 20 years of the beginning of congress are called the ‘ moderate age ’.";"but before the group , the last congress of the last congress is the madhyam ayu .";"6.749615"
"43";"among the moderates , m.g.ranade , surendranath bannerjee , dadabhai naoroji and gopalakrishna gokhale were prominent .";"in the name of narempanti , mz ranade , surrendernath banerji , dada bhai , nauruji and gopal krishna gokli";"2.862999"
"44";"the moderates trusted the british administration and their impartiality .";"narampanti british prashasan par bharosakia and their nishpakshita .";"10.147104"
"45";"they used to place their requests and appeals before the government within the constitutional framework .";"the government was the only one who had been able to get the opportunity to live in peace and peace .";"4.780204"
"46";"the moderates taught people about political situations .";"the next day , the new season of the season of the season of the season of the season of the season of the season of the season of the season of the season of the season of the season of the season of the season of the season of the season of the season of the season of the season of the season of the season of the season of the season of the season of the season of the season of the season of the season of the season of the season of the season of the season of the season of the season of the season of the season of the season of the season of the season of the season of the season of the season of the season of the season of the season of the season of the season of the season of the season of the season of the season of the season of the season of the season of the season of the season of the season of the season of the season of the season of the season of the season of the season of the season of the season of the season of the season of the season of the season of the season of the season of the season of the season of";"0.158902"
"47";"they conducted meetings , discussed problems and placed before the government various requests related to development of industries , reduction of military expenses , improvement in educational standards , forcing the british government to take up studies about poverty in the country etc .";"he was born in the battle of bait . he was born in the battle of bikas and was born in the battle of bikas .";"2.105764"
"48";"";"";"100.000000"
"49";"gopalakrishna gokhale";"go palakrishna go clay";"7.986789"
"50";"dadabhai naoroji";"dada bhai naruji";"22.590050"
